n_target,n_actual,seed,model_name,r2,rmse
1159,1158,0,PGSGv2,0.7875310251870171,1.2712654714012814
1159,1158,0,PGSGv2-random,0.780979627933242,1.290716156535329
1159,1158,1,PGSGv2,0.778868286270757,1.296922443849297
1159,1158,1,PGSGv2-random,0.7755787069031873,1.3065334118491378
1159,1158,2,PGSGv2,0.7692565227601962,1.3248088074839168
1159,1158,2,PGSGv2-random,0.7992597622685637,1.2356791172459298
1159,1158,3,PGSGv2,0.7959704248247016,1.2457619241077098
1159,1158,3,PGSGv2-random,0.8038799658450337,1.2213762486208126
1159,1158,4,PGSGv2,0.7550608965440826,1.3649525433887155
1159,1158,4,PGSGv2-random,0.7811529011734782,1.2902054944006782
1159,1158,5,PGSGv2,0.8089987889823917,1.2053316223346329
1159,1158,5,PGSGv2-random,0.8152903500685922,1.1853136419282164
1159,1158,6,PGSGv2,0.7974893811004546,1.2411160463584807
1159,1158,6,PGSGv2-random,0.7963295399553447,1.2446651003127067
1159,1158,7,PGSGv2,0.8065702543645635,1.2129701697918485
1159,1158,7,PGSGv2-random,0.79755281268079,1.2409216562609486
1159,1158,8,PGSGv2,0.7620443726992998,1.3453537078695248
1159,1158,8,PGSGv2-random,0.7615333342019881,1.3467975879822347
1159,1158,9,PGSGv2,0.8021367893670996,1.2267922284189359
1159,1158,9,PGSGv2-random,0.8011833316666148,1.2297444921457277
